"File","Group","ObjType","Table","DocKey","ObjectId","Source","Note"
"1.AP Credit Memo_ใบลดหนี้.rpt","Form","19","ORPC","-1","19","none","ORPC empty, no draft"
"1.AP Down Payment_ENG ใบจ่ายเงินมัดจำ.rpt","Form","204","ODPO","-1","204","none","ODPO empty, no draft"
"1.AP Down Payment_ใบจ่ายเงินมัดจำ.rpt","Form","204","ODPO","-1","204","none","ODPO empty, no draft"
"1.AP Invoice_ใบแจ้งหนี้_(Batch_Serial).rpt","Form","18","OPCH","-1","18","none","OPCH empty, no draft"
"1.AR Down Payment_BOM ใบเสร็จรับเงินมัดจำ.rpt","Form","203","ODPI","-1","203","none","ODPI empty, no draft"
"1.AR Down Payment_BOM_ENG ใบเสร็จรับเงินมัดจำ.rpt","Form","203","ODPI","-1","203","none","ODPI empty, no draft"
"1.AR Down Payment_Dis ใบเสร็จรับเงินมัดจำ.rpt","Form","203","ODPI","-1","203","none","ODPI empty, no draft"
"1.AR Down Payment_Dis_ENG ใบเสร็จรับเงินมัดจำ.rpt","Form","203","ODPI","-1","203","none","ODPI empty, no draft"
"1.AR Invoice_ENG ใบแจ้งหนี้_(Bom).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"1.AR Invoice_ENG ใบแจ้งหนี้_(Dis).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"1.AR Invoice_ใบแจ้งหนี้_(Bom).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"1.AR Invoice_ใบแจ้งหนี้_(Dis).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"1.AR_Credit Memo_ใบลดหนี้_(Batch_Serial) (Dis).rpt","Form","14","ORIN","-1","14","none","ORIN empty, no draft"
"1.AR_Credit Memo_ใบลดหนี้_ENG (Batch_Serial) (Dis).rpt","Form","14","ORIN","-1","14","none","ORIN empty, no draft"
"1.Delivery_ใบส่งของ_(Batch_Serial).rpt","Form","15","ODLN","-1","15","none","ODLN empty, no draft"
"1.Delivery_ใบส่งของ_Eng (Batch_Serial).rpt","Form","15","ODLN","-1","15","none","ODLN empty, no draft"
"1.Goods Issue_ใบเบิกสินค้า_(Batch_Serial).rpt","Form","60","OIGE","-1","60","none","OIGE empty, no draft"
"1.Goods Issue_ใบเบิกสินค้า_ENG (Batch_Serial).rpt","Form","60","OIGE","-1","60","none","OIGE empty, no draft"
"1.Goods Receipt_ENG ใบรับสินค้า_(Batch_Serial).rpt","Form","59","OIGN","-1","59","none","OIGN empty, no draft"
"1.Goods Receipt_ใบรับสินค้า_(Batch_Serial).rpt","Form","59","OIGN","-1","59","none","OIGN empty, no draft"
"1.Goods Reciept PO_TH_ใบรับสินค้า_(Batch_Serial).rpt","Form","20","OPDN","-1","20","none","OPDN empty, no draft"
"1.Goods Return_TH_ใบส่งคืนสินค้า_(Batch_Serial).rpt","Form","21","ORPD","-1","21","none","ORPD empty, no draft"
"1.Incoming Payments_Eng ใบเสร็จรับเงิน.rpt","Form","24","ORCT","-1","24","none","ORCT empty, no draft"
"1.Incoming Payments_ใบเสร็จรับเงิน.rpt","Form","24","ORCT","-1","24","none","ORCT empty, no draft"
"1.Inventory Counting_ใบตรวจนับสินค้า_Befor.rpt","Form","1470000065","OINC","-1","1470000065","none","OINC empty, no draft"
"1.Inventory Transfer Request_ใบขอโอนสินค้า.rpt","Form","1250000001","OWTQ","-1","1250000001","none","OWTQ empty, no draft"
"1.Inventory Transfer_ใบโอนสินค้า.rpt","Form","67","OWTR","-1","67","none","OWTR empty, no draft"
"1.Inventory Transfer_ใบโอนสินค้า_TH_(Batch_Serial).rpt","Form","67","OWTR","-1","67","none","OWTR empty, no draft"
"1.Issue for Production_ใบเบิกวัตถุดิบเพื่อการผลิต_(Batch_Serial).rpt","Form","60","OIGE","-1","60","none","OIGE empty, no draft"
"1.Journal Entry_ใบบันทึกรายการบัญชี.rpt","Form","30","OJDT","4","30","real",""
